,Wallet,NumberOfTokensAdopted,EarlyCount,LaggardCount,EarlyPercentage,LaggardPercentage,Whale,Non-WhaleEarlyAdopters,Non-WhaleLaggardAdopters,NumberOfWhalesInteractedWith
69,0x00000000000000000000000025e38ff59569f5e270b69dc9086a329722fe730a,26,11,15,42.30769230769231,57.69230769230769,False,False,True,15.0
70,0x0000000000000000000000002d107eb3779ddbec54807abe667520932cf62dd9,22,4,18,18.181818181818183,81.81818181818181,False,False,True,16.0
71,0x0000000000000000000000000161bc8beeb1265961d9768e66849bb0ab5fe1b0,15,6,9,40.0,60.0,False,False,True,14.0
72,0x00000000000000000000000019faa31c0d20124e68a32c4af6093f7a5d1059e9,30,9,21,30.0,70.0,False,False,True,25.0
73,0x00000000000000000000000094b0aaff45a15a9f33d6d02d9f8470d0eca6b5fd,28,4,24,14.285714285714286,85.71428571428571,False,False,True,19.0
74,0x000000000000000000000000663ea9c78e2734e1fb564190b77cbd4e521bc837,16,2,14,12.5,87.5,False,False,True,11.0
75,0x00000000000000000000000075ecd0657323633528e346b96109a799079ef4b5,13,3,10,23.07692307692308,76.92307692307692,False,False,True,5.0
76,0x000000000000000000000000aa5bbd5a177a588b9f213505ca3740b444dbd586,203,26,177,12.807881773399014,87.19211822660098,True,False,False,4648.0
77,0x000000000000000000000000ee0232e292ee48203656e18c8b1d9e7fe5ede212,350,27,323,7.714285714285714,92.28571428571428,False,False,True,51.0
78,0x00000000000000000000000008f938554688495a189b20d2dd6a0ec711f6513e,18,1,17,5.555555555555555,94.44444444444444,False,False,True,8.0
79,0x0000000000000000000000004bb99c31fdf1a78f4d9e4de6a37bc788edeaf5f6,40,6,34,15.0,85.0,False,False,True,29.0
80,0x00000000000000000000000084ec07a157b6fa79b997865dfd971bbc0397d970,101,7,94,6.930693069306931,93.06930693069307,False,False,True,3.0
81,0x000000000000000000000000597bbe3a922c6c9a31b9b79703b40f85c90c621b,29,3,26,10.344827586206897,89.65517241379311,False,False,True,19.0
82,0x0000000000000000000000006f679534ed6cf6f0f8774ab57cc66b82a0375af4,18,3,15,16.666666666666668,83.33333333333333,False,False,True,4.0
83,0x0000000000000000000000001dd7df4883181702b94afdfdcc2eb7fb5b88e4a3,55,7,48,12.727272727272728,87.27272727272727,False,False,True,36.0
84,0x0000000000000000000000002b737d25182647840b8563530a3e1a417bb02a8c,27,7,20,25.925925925925927,74.07407407407408,False,False,True,14.0
85,0x000000000000000000000000d1fe1a27c6b05cab0e32918eb8c4b696097496fa,67,21,46,31.34328358208955,68.65671641791045,False,False,True,31.0
86,0x000000000000000000000000b1d5b0f8c3d0c59602533d8f8bf6eba24f315514,158,48,110,30.37974683544304,69.62025316455696,False,False,True,57.0
87,0x0000000000000000000000005029f0b3db536f67b6b336bd22cb66f74e8c2f80,37,6,31,16.216216216216218,83.78378378378379,False,False,True,11.0
88,0x000000000000000000000000a222f8143ae351124cffaae3e53b54fec3fe1091,31,7,24,22.580645161290324,77.41935483870968,False,False,True,26.0
