,Date,Average Price,Weighted Price,Average Return,Weighted Return,Average Return Growth,Weighted Return Growth
2290,2023-09-18,14071.733515921114,19700.8485391787,-24.36077257575198,2.9520671543796198,-0.17281930779671087,0.014986712711036198
2291,2023-09-19,14189.047859970207,19860.08140426982,117.31434404909305,159.23286509111858,0.833687931315361,0.8082538413229016
2292,2023-09-20,14431.497646445638,20277.47254129792,242.4497864754303,417.3911370281021,1.708710752603941,2.1016587421356947
2293,2023-09-21,14368.689701131492,20244.75407080614,-62.8079453141454,-32.71847049178177,-0.43521432669612425,-0.16135379014887585
2294,2023-09-22,14072.478850602662,19841.99219169683,-296.21085052883063,-402.7618791093082,-2.061502173754263,-1.9894629379079949
2295,2023-09-23,14082.75413255153,19829.365025779724,10.275281948868724,-12.62716591710705,0.07301685835135349,-0.06363859936600051
2296,2023-09-24,14083.551727082946,19832.041084197983,0.7975945314155979,2.6760584182593448,0.005663626048629231,0.01349543172350834
2297,2023-09-25,13915.020346215786,19570.40282075043,-168.5313808671599,-261.63826344755216,-1.1966539700569334,-1.3192704792046015
2298,2023-09-26,13943.552930860717,19592.3344483612,28.532584644930466,21.931627610771102,0.20504881728534413,0.11206528456081176
2299,2023-09-27,13898.621858227345,19493.101717964073,-44.931072633371514,-99.23273039712876,-0.3222354650652011,-0.5064875278577591
2300,2023-09-28,13973.781852844779,19611.317741682327,75.15999461743377,118.21602371825429,0.5407730016983123,0.6064505558359194
2301,2023-09-29,14330.605073630155,20065.230645439107,356.8232207853762,453.91290375678,2.553519330293067,2.314545660499006
2302,2023-09-30,14292.59397520447,19936.486562844297,-38.011098425684395,-128.7440825948106,-0.26524419750865147,-0.6416277234474479
2303,2023-10-01,14320.437549914863,19978.011860400784,27.843574710392204,41.5252975564872,0.1948112061302285,0.2082879419379644
2304,2023-10-02,14850.664307001407,20708.40185641844,530.2267570865442,730.3899960176568,3.702587684478234,3.6559693783413554
2305,2023-10-03,14640.170655102973,20581.260810328633,-210.4936518984341,-127.14104608980779,-1.4174022625990947,-0.6139587543806584
2306,2023-10-04,14547.721974888684,20445.699990753936,-92.4486802142892,-135.56081957469723,-0.6314726951769877,-0.6586613950621845
2307,2023-10-05,14720.152324888708,20790.397062807595,172.4303500000242,344.6970720536592,1.1852738889130687,1.6859147508255525
2308,2023-10-06,14524.434752190917,20564.997701572574,-195.71757269779118,-225.39936123502048,-1.3295893165920136,-1.084151305788394
2309,2023-10-07,14802.294919821685,20950.38197456869,277.86016763076805,385.3842729961143,1.9130532263147428,1.87398160013723
2310,2023-10-08,14806.313172974493,21001.16713448433,4.018253152808029,50.785159915642,0.027146149800239452,0.242406844788268
2311,2023-10-09,14791.162653448393,20976.815521782664,-15.150519526099743,-24.351612701666454,-0.10232472695332095,-0.11595361603346618
2312,2023-10-10,14586.980147462504,20806.536274761685,-204.1825059858893,-170.2792470209788,-1.3804358100158303,-0.8117497474493117
